name,log_loss,brier,auc_ovr,auc_any,auc_side,p@10%,p@5%
0. majority class,0.9438848615514379,0.5551744072571818,0.5,0.5,0.5,0.3987735831461127,0.4106617551573521
1. clock + scoreline only,0.9434693687036609,0.5550227985495247,0.5233276911269145,0.5205048517733931,0.5278126643614747,0.4086904271131999,0.39765697529044086
A. cumulative counts,0.9409462197266037,0.5542975003595868,0.5404547588414147,0.5076212819486728,0.5943784880885125,0.39487414925677716,0.413217578411257
A-rec. last-10min counts,0.9434564024785929,0.5556333124333325,0.5237310599662105,0.5028043641294042,0.5611884163463908,0.3791538845951805,0.37701359405149487
A+rec. cumulative + recent,0.9409465777787726,0.5545230526998753,0.5362340500992221,0.5061643360105887,0.590842032454788,0.3923153426104548,0.39620162014368115
E. Elo only,0.9368217043987705,0.552369368813269,0.5585382301185126,0.5147709995808066,0.6267873901689321,0.3963404907780294,0.4032862157927088
A+E. counts + Elo,0.9343135117711152,0.5513939405660686,0.564695336641912,0.5183437926574446,0.6413302377493367,0.3995033665624082,0.40250555979085917
B-tfidf. last 3 lines,0.9436379001746898,0.5549387996349372,0.512192455994846,0.5129293772712648,0.5089916620784664,0.4322483386007628,0.4548678852628239
B-tfidf. last 10 lines,0.9439659123262275,0.5551797548937928,0.5132149237947904,0.5078364566601953,0.5191876200541097,0.40304801924296996,0.42511517437143936
B-tfidf. last 20 lines,0.9437925532596331,0.555219194070363,0.5067169507077699,0.5006955147279478,0.5212248614671083,0.4007177423883212,0.37814337614639654
"B. last 20 lines, embeddings",0.9451325361062693,0.5558453662998661,0.49740308346973167,0.5015867741015608,0.4883654607622104,0.4007793151511234,0.40980560210994504
"B-mlp. embeddings, PyTorch head",0.9444367751946362,0.5555187712896207,0.5012763614318048,0.49660056431720717,0.5045978546798914,0.37843425131950337,0.3890352572475891
A+B. counts + embeddings,0.9441089110473748,0.5555472048380247,0.5085214085306962,0.49952558081197823,0.5160394029274683,0.38636869017182357,0.38674730209461655
C. CEILING (sees future events),0.9230656369385698,0.5446726608894532,0.5969550766866352,0.5720326326737767,0.6509167949739306,0.4885927384018985,0.48888395123782047
C+. CEILING + counts + Elo,0.9202577227665776,0.5443119589836752,0.6016058717006194,0.5571954707919139,0.6870522892684026,0.4654960924337093,0.5005872664365852
