model,logloss_vs_majority,ci_low,ci_high,p_better
0. majority class,0.0,0.0,0.0,0.0
1. clock + scoreline only,0.0022467628002789067,-0.00019484215119805188,0.004778295250037315,0.035
A. cumulative counts,0.00039884190135959654,-0.004632936340267263,0.005459115878097193,0.454
A-rec. last-10min counts,0.00026876059416851695,-0.0020467083011069115,0.0026026491951417173,0.418
A+rec. cumulative + recent,0.0006451112036177034,-0.003744272391787054,0.0051863333516084555,0.398
E. Elo only,-0.001285346968472358,-0.009283247446862906,0.00650460623182301,0.633
A+E. counts + Elo,-0.002644287098384652,-0.010318134338502932,0.004761143524175627,0.751
B-tfidf. last 3 lines,-0.00029762068559056215,-0.0018802531434289227,0.001248894509878959,0.6345
B-tfidf. last 10 lines,-0.00037119645709691865,-0.0013926577771020715,0.0005427056400731116,0.7665
B-tfidf. last 20 lines,0.0001666454805302952,-0.0010458353359205363,0.0013805646581648812,0.3905
"B. last 20 lines, embeddings",0.0004830771117832361,2.8491874329111822e-05,0.0009510215047158012,0.018
"B-mlp. embeddings, PyTorch head",0.00026755373771460915,-0.00019690598916244362,0.000718045683017332,0.125
A+B. counts + embeddings,-0.00011674156619318621,-0.0029961175716472,0.0028952595490507713,0.5365
C. CEILING (sees future events),-0.020959776186366096,-0.030040002422181418,-0.011973878273100947,1.0
C+. CEILING + counts + Elo,-0.017773722541307643,-0.027350480752680987,-0.008361689509536278,1.0
